iter	Passed	Remaining
0	8	8504
1	17	8701
2	25	8425
3	34	8491
4	40	8082
5	48	8112
6	55	7896
7	63	7889
8	71	7872
9	79	7861
10	87	7864
11	98	8073
12	105	8028
13	114	8032
14	122	8013
15	131	8057
16	139	8073
17	148	8090
18	156	8089
19	165	8106
20	171	8003
21	178	7927
22	186	7918
23	194	7894
24	202	7878
25	210	7899
26	217	7851
27	224	7809
28	231	7748
29	238	7721
30	246	7704
31	255	7722
32	262	7682
33	269	7654
34	278	7674
35	288	7713
36	295	7696
37	303	7679
38	313	7723
39	320	7700
40	329	7699
41	336	7676
42	343	7654
43	352	7658
44	358	7614
45	367	7624
46	375	7609
47	383	7604
48	392	7621
49	400	7618
50	409	7613
51	417	7602
52	426	7617
53	434	7618
54	444	7634
55	460	7767
56	469	7769
57	477	7759
58	485	7739
59	491	7700
60	501	7717
61	509	7715
62	519	7721
63	528	7732
64	538	7750
65	545	7722
66	553	7710
67	561	7699
68	572	7718
69	578	7688
70	586	7669
71	594	7658
72	602	7654
73	610	7636
74	619	7642
75	627	7631
76	635	7613
77	641	7582
78	650	7580
79	658	7576
80	668	7585
81	676	7574
82	683	7555
83	692	7549
84	700	7542
85	707	7517
86	715	7512
87	723	7501
88	730	7476
89	739	7475
90	748	7473
91	759	7499
92	766	7474
93	772	7450
94	780	7439
95	790	7445
96	799	7444
97	806	7426
98	814	7414
99	821	7397
100	828	7373
101	836	7360
102	846	7374
103	855	7366
104	863	7361
105	870	7344
106	877	7324
107	886	7320
108	894	7308
109	901	7294
110	909	7286
111	916	7268
112	924	7256
113	933	7253
114	942	7251
115	951	7247
116	960	7245
117	965	7218
118	974	7217
119	981	7197
120	989	7187
121	997	7178
122	1006	7179
123	1014	7164
124	1021	7152
125	1029	7139
126	1039	7146
127	1047	7133
128	1054	7120
129	1061	7105
130	1071	7105
131	1077	7087
132	1087	7086
133	1094	7076
134	1104	7074
135	1112	7064
136	1118	7045
137	1124	7025
138	1132	7013
139	1140	7005
140	1149	7004
141	1158	7000
142	1171	7023
143	1180	7018
144	1190	7017
145	1197	7007
146	1207	7004
147	1215	6996
148	1225	6998
149	1234	6996
150	1243	6992
151	1251	6979
152	1259	6972
153	1269	6972
154	1276	6959
